Season,Team,Owner,Player Name,Position,NFL Team,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Stephen Gostkowski,K,NE,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Eli Manning,QB,NYG,,,,,,,,,
2013,Eat The Sandwich,Spencer,Emmanuel Sanders,WR,DEN,,,,,,,,,
2013,Salsa Dancing,Tom,Steve Johnson,WR,BUF,,,,,,,,,
2013,Gotham City Rogues,Dan,Tom Brady,QB,NE,,,,,,,,,
2013,The Elite Eli's,Gavin,Aaron Rodgers,QB,GB,,,,,,,,,
2013,Rapid City Monuments,TSizz,Ray Rice,RB,BAL,,,,,,,,,
2013,The Thirteenth District,James,CJ Spiller,RB,BUF,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Rashard Mendenhall,RB,ARI,,,,,,,,,
2013,Team No College Yet,Dylan,Isaiah Pead,RB,LAR,,,,,,,,,
2013,Team Charles,Charles,Giovani Bernard,RB,CIN,,,,,,,,,
2013,Best Served Hot,Ed,DeAngelo Williams,RB,CAR,,,,,,,,,
2013,Wearing Sperrys Popping Cherrys,Carson,Wes Welker,WR,DEN,,,,,,,,,
2013,Caucasion Sasquatch,Ken,Jarrett Boykin,WR,GB,,,,,,,,,
2013,Eat The Sandwich,Spencer,Jordan Cameron,TE,CLE,,,,,,,,,
2013,Salsa Dancing,Tom,Ben Roethlisberger,QB,PIT,,,,,,,,,
2013,Gotham City Rogues,Dan,Stevan Ridley,RB,NE,,,,,,,,,
2013,The Elite Eli's,Gavin,Vincent Brown,WR,LAC,,,,,,,,,
2013,Rapid City Monuments,TSizz,Jerome Simpson,WR,MIN,,,,,,,,,
2013,The Thirteenth District,James,Maurice Jones-Drew,RB,LV,,,,,,,,,
2013,Former ShepaugTeacher,Spear,Vick Ballard,RB,IND,,,,,,,,,
2013,Team No College Yet,Dylan,Le'Veon Bell,RB,PIT,,,,,,,,,
2013,Team Charles,Charles,Mike Williams,WR,BUF,,,,,,,,,
