year,week,team,team_owner,team_score,opponent,opponent_owner,opponent_score,result,is_playoff,bracket_type,playoff_round,team_seed,opponent_seed
2013,14,Team No College Yet,Dylan,239.70,Caucasion Sasquatch,Ken,257.20,LOSS,TRUE,Consolation,1,9,10
2013,14,Team Charles,Charles,226.00,The Elite Eli's,Gavin,278.00,LOSS,TRUE,Consolation,1,11,12
2013,15,Eat The Sandwich,Spencer,219.60,Gotham City Rogues,Dan,217.20,WIN,TRUE,Winners,2,3,4
2013,15,Rapid City Monuments,Tsizz,288.30,Wearing Sperrys Popping Cherrys,Carson,281.50,WIN,TRUE,Winners,2,1,2
2013,15,Best Served Hot,Ed,175.00,The Thirteenth District,James,272.20,LOSS,TRUE,Consolation,2,5,7
2013,15,Former ShepaugTeacher,Spear,195.30,Caucasion Sasquatch,Ken,182.40,WIN,TRUE,Consolation,2,6,10
2013,15,Salsa Dancing,Tom,246.40,The Elite Eli's,Gavin,136.10,WIN,TRUE,Consolation,2,8,12
2013,15,Team No College Yet,Dylan,173.00,Team Charles,Charles,261.40,LOSS,TRUE,Consolation,2,9,11
2014,1,Eat The Sandwich,Spencer,154.5,Gotham City Rogues,Dan,113.8,WIN,FALSE,,,,
2014,1,Rapid City Monuments,Tsizz,89.5,Caucasion Sasquatch,Ken,129.4,LOSS,FALSE,,,,
2014,1,Brookfield Brawlers,Rob,123,The Thirteenth District,James,112.8,WIN,FALSE,,,,
2014,1,Two First Names,Spear,186.4,Salsa Dancing,Tom,179.8,WIN,FALSE,,,,
2014,1,Team Foote Longs,Wes,114.8,Paper Thin Walls,Geoff,142.4,LOSS,FALSE,,,,
2014,1,Team Charles,Charles,105.8,Johnny Clipboards,Gavin,98.1,WIN,FALSE,,,,
2014,2,Gotham City Rogues,Dan,115,Caucasion Sasquatch,Ken,132.3,LOSS,FALSE,,,,
2014,2,The Thirteenth District,James,122.3,Eat The Sandwich,Spencer,112.6,WIN,FALSE,,,,
2014,2,Brookfield Brawlers,Rob,125.7,Rapid City Monuments,Tsizz,110.2,WIN,FALSE,,,,
2014,2,Salsa Dancing,Tom,117.8,Paper Thin Walls,Geoff,147.6,LOSS,FALSE,,,,
2014,2,Johnny Clipboards,Gavin,145.5,Two First Names,Spear,85.8,WIN,FALSE,,,,
2014,2,Team Charles,Charles,115.8,Team Foote Longs,Wes,118,LOSS,FALSE,,,,
2014,3,The Thirteenth District,James,111.8,Gotham City Rogues,Dan,132,LOSS,FALSE,,,,
2014,3,Caucasion Sasquatch,Ken,80.4,Brookfield Brawlers,Rob,101.3,LOSS,FALSE,,,,
2014,3,Eat The Sandwich,Spencer,153.5,Rapid City Monuments,Tsizz,116.5,WIN,FALSE,,,,
2014,3,Johnny Clipboards,Gavin,83.1,Salsa Dancing,Tom,145.7,LOSS,FALSE,,,,
2014,3,Paper Thin Walls,Geoff,138,Team Charles,Charles,79,WIN,FALSE,,,,
2014,3,Two First Names,Spear,156.2,Team Foote Longs,Wes,125.7,WIN,FALSE,,,,
2014,4,Gotham City Rogues,Dan,117.5,Brookfield Brawlers,Rob,103.6,WIN,FALSE,,,,
2014,4,Rapid City Monuments,Tsizz,135.5,The Thirteenth District,James,123.2,WIN,FALSE,,,,
2014,4,Eat The Sandwich,Spencer,123.9,Caucasion Sasquatch,Ken,107.4,WIN,FALSE,,,,
2014,4,Salsa Dancing,Tom,157,Team Charles,Charles,87.2,WIN,FALSE,,,,
2014,4,Team Foote Longs,Wes,137.9,Johnny Clipboards,Gavin,152.7,LOSS,FALSE,,,,
2014,4,Two First Names,Spear,99.5,Paper Thin Walls,Geoff,134.7,LOSS,FALSE,,,,
2014,5,Rapid City Monuments,Tsizz,134,Gotham City Rogues,Dan,107.5,WIN,FALSE,,,,
2014,5,Brookfield Brawlers,Rob,123.6,Eat The Sandwich,Spencer,158.2,LOSS,FALSE,,,,
2014,5,The Thirteenth District,James,97.9,Caucasion Sasquatch,Ken,173.6,LOSS,FALSE,,,,
2014,5,Team Foote Longs,Wes,120.2,Salsa Dancing,Tom,100.8,WIN,FALSE,,,,
2014,5,Team Charles,Charles,90.4,Two First Names,Spear,95.9,LOSS,FALSE,,,,
2014,5,Johnny Clipboards,Gavin,137.1,Paper Thin Walls,Geoff,135.4,WIN,FALSE,,,,
2014,6,Gotham City Rogues,Dan,135.8,Salsa Dancing,Tom,85.4,WIN,FALSE,,,,
2014,6,Eat The Sandwich,Spencer,235,Two First Names,Spear,131.6,WIN,FALSE,,,,
2014,6,Caucasion Sasquatch,Ken,142.1,Paper Thin Walls,Geoff,149.4,LOSS,FALSE,,,,
2014,6,The Thirteenth District,James,128.5,Johnny Clipboards,Gavin,130.4,LOSS,FALSE,,,,
2014,6,Brookfield Brawlers,Rob,90.6,Team Charles,Charles,85.7,WIN,FALSE,,,,
2014,6,Rapid City Monuments,Tsizz,132,Team Foote Longs,Wes,146.7,LOSS,FALSE,,,,
2014,7,Salsa Dancing,Tom,105.5,Eat The Sandwich,Spencer,135.2,LOSS,FALSE,,,,
2014,7,Two First Names,Spear,104.2,Caucasion Sasquatch,Ken,133.4,LOSS,FALSE,,,,
2014,7,Paper Thin Walls,Geoff,138.1,The Thirteenth District,James,107.3,WIN,FALSE,,,,
2014,7,Johnny Clipboards,Gavin,158.2,Brookfield Brawlers,Rob,89,WIN,FALSE,,,,
2014,7,Team Charles,Charles,133.5,Rapid City Monuments,Tsizz,128.6,WIN,FALSE,,,,
2014,7,Team Foote Longs,Wes,96.5,Gotham City Rogues,Dan,102.5,LOSS,FALSE,,,,
2014,8,Caucasion Sasquatch,Ken,127.2,Salsa Dancing,Tom,188.6,LOSS,FALSE,,,,
2014,8,The Thirteenth District,James,147.1,Two First Names,Spear,113.5,WIN,FALSE,,,,
2014,8,Brookfield Brawlers,Rob,105.8,Paper Thin Walls,Geoff,153.6,LOSS,FALSE,,,,
2014,8,Rapid City Monuments,Tsizz,124,Johnny Clipboards,Gavin,153.5,LOSS,FALSE,,,,
2014,8,Gotham City Rogues,Dan,147.1,Team Charles,Charles,124,WIN,FALSE,,,,
2014,8,Eat The Sandwich,Spencer,172.2,Team Foote Longs,Wes,148.4,WIN,FALSE,,,,
2014,9,Salsa Dancing,Tom,133.9,The Thirteenth District,James,92.4,WIN,FALSE,,,,
2014,9,Two First Names,Spear,101.7,Brookfield Brawlers,Rob,147.1,LOSS,FALSE,,,,
2014,9,Paper Thin Walls,Geoff,138.9,Rapid City Monuments,Tsizz,109.9,WIN,FALSE,,,,
2014,9,Johnny Clipboards,Gavin,144.3,Gotham City Rogues,Dan,133.3,WIN,FALSE,,,,
2014,9,Team Charles,Charles,109.3,Eat The Sandwich,Spencer,106,WIN,FALSE,,,,
2014,9,Team Foote Longs,Wes,159.7,Caucasion Sasquatch,Ken,81.4,WIN,FALSE,,,,
2014,10,Brookfield Brawlers,Rob,107.6,Salsa Dancing,Tom,158.9,LOSS,FALSE,,,,
2014,10,Rapid City Monuments,Tsizz,115.6,Two First Names,Spear,143.6,LOSS,FALSE,,,,
